1,"Cavite City","Cavite","Manila-Cavite Road Dalahican, Cavite City, Cavite, Cavite","Cavite Medical Center"
2,"Bel-Air","Makati","100 Jupiter Street Corner Makati Ave, Makati","Minder Swissdent Dental Clinic"
3,"Forbes Park","Makati","#2 Amorsolo Street Legaspi Village, Makati","Makati Medical Center"
4,"Kawit","Cavite","Unit C #90 Covelandia Road, Brgy. Binakayan-Congbalay-Legaspi Kawit, Cavite","ACC Physical Theraphy Clinic"
5,"San Lorenzo","Makati","#2 Amorsolo Street Legaspi Village Makati, Makati","Makati Medical Center - Hall A Room No. 214"
6,"General Trias","Cavite","Brgy. Tejero Gen. Trias, Cavite, Cavite","Divine Grace Medical Center"
7,"Fort Bonifacio","Taguig","141 M. L. Quezon Street Lower Bicutan Taguig City, Taguig","Mariategue - Dizon Dental Clinic"
8,"Bacoor","Cavite","207 and 208 2nd Floor SM Rosario General Trias Drive Tejero, Rosario, Cavite","WellPoint Medical Clinic and Diagnostic Center Inc."
9,"Bacoor","Cavite","31 Lower Ground Floor SM City Bacoor, Tirona corner Aguinaldo Highway, Bacoor City, Cavite","Metro South Medical Center"
10,"Concepcion Uno","Marikina","74-E Gen. Ordonez, Concepcion 1, Marikina City, Marikina","ACL Dental Clinic"
11,"Dasmarinas City","Cavite","Molino Boulevard, Bayanan, Bacoor, Cavite","De La Salle University Medical Center"
12,"Pulang Lupa Dos","Las Pinas","Pulang Lupa Dos, Las Pinas","Fresh Smile Dental Clinic"
13,"San Lorenzo","Makati","4th Level Market.Market B6C Taguig City, Taguig","Healthway Clinic"
14,"San Lorenzo","Makati","4th Level Greenbelt 5 Ayala Center Makati City, Makati","Tokyo Healthlink"
15,"Fort Bonifacio","Taguig","2F, East Building, Forbestown Center, Burgos Circle, Bonifacio Global City, Taguig","The Aivee Clinic"
16,"Poblacion","Makati","Suite 1723 Centuria Medical Makati, Century City, Makati","NEU Advanced Aesthetics Center"
17,"Poblacion","Makati","Unit 1 and 15 Anonas Commercial Complex, #3 Anonas Street, Cubao (Project 3), Quezon","NEU Advanced Aesthetics Center"
18,"Lourdes","Quezon","2D #410 Paseo Lorenzo Building N.S. Amoranto Avenue, Quezon","Tooth Clinic"
19,"Cavite City","Cavite","P. Gomez St, Cavite City, Cavite, Cavite","Dra. Olivia Salamanca Hospital"
20,"Rosario","Cavite","5 C. Abueg St. Rosario, Cavite","Pugeda Medical Clinic & Diagnostic Center"
21,"Trece Martires City","Cavite","Trece Martirez-Indang Road, Trece Martirez City, Cavite, Cavite","Korea-Philippines Friendship Hospital"
22,"Potrero","Malabon","#4 1-F Victoneta Avenue Potrero, Malabon","Calayag - Tan Dental Clinic"
23,"Santa Cruz","Quezon","3rd Floor Fisher Mall Quezon Avenue, Quezon, Quezon","San Salvador Dental Clinic"
24,"Morning Breeze Subdivision","Caloocan","129, Asuncion Street, Morning Breeze Subdivision, Caloocan City, 1400, Metro Manila, Caloocan","Garcia Dental Clinic"
25,"Morning Breeze Subdivision","Caloocan","129 Asuncion St. Morning Breeze Subdivision, Caloocan","Sacred Heart Dental Clinic"
26,"Lourdes","Quezon","462-A Richmond 1 Building Mayon Street Corner Don Manuel Street Lourdes, Quezon","Amour Dental Laboratory & Clinic"
27,"Trece Martires City","Cavite","Brgy. De Ocampo, Trece Martires, Cavite, Cavite","M.V. Santiago Medical Center"
28,"Rosario","Cavite","General Trias Drive, Rosario, Cavite, Cavite","Our Savior Hospital"
